entry	size	name	is_thunk	is_external
0x401000	27	FUN_00401000	false	false
0x401020	11	thunk_FUN_008200e0	true	false
0x401030	11	thunk_FUN_0087ee40	true	false
0x401040	11	thunk_FUN_00816a60	true	false
0x401050	11	thunk_FUN_0087ef80	true	false
0x401060	11	thunk_FUN_00816a30	true	false
0x401070	11	thunk_FUN_0087e0d0	true	false
0x401080	11	thunk_FUN_0087da60	true	false
0x401090	11	thunk_FUN_008c7840	true	false
0x4010A0	11	thunk_FUN_0087ee40	true	false
0x4010B0	11	thunk_FUN_0087e040	true	false
0x4010C0	11	thunk_FUN_0087df20	true	false
0x4010D0	11	thunk_FUN_008c7840	true	false
0x4010E0	11	thunk_FUN_008188a0	true	false
0x4010F0	11	thunk_FUN_0087ddc0	true	false
0x401100	11	thunk_FUN_0087ef30	true	false
0x401110	11	thunk_FUN_0091ec70	true	false
0x401120	11	thunk_FUN_0087ee90	true	false
0x401130	11	thunk_FUN_0087eee0	true	false
0x401140	11	thunk_FUN_0087edc0	true	false
0x401150	11	thunk_FUN_0087eaa0	true	false
0x401160	11	thunk_FUN_0087dea0	true	false
0x401170	11	thunk_FUN_008c79a0	true	false
0x401180	11	thunk_FUN_008c8800	true	false
0x401190	11	thunk_FUN_00821090	true	false
0x4011A0	11	thunk_FUN_008169c0	true	false
0x4011B0	11	thunk_FUN_0087ee90	true	false
0x4011C0	11	thunk_FUN_0087dfc0	true	false
0x4011E0	11	thunk_FUN_00821e90	true	false
0x4011F0	11	thunk_FUN_0087ebb0	true	false
0x401200	11	thunk_FUN_0091ece0	true	false
0x401210	11	thunk_FUN_008c7920	true	false
0x401220	11	thunk_FUN_0087dc70	true	false
0x401230	11	thunk_FUN_0087ea00	true	false
0x401240	11	thunk_FUN_0087f760	true	false
0x401250	11	thunk_FUN_008215b0	true	false
0x401260	11	thunk_FUN_00817d40	true	false
0x401270	11	thunk_FUN_0087e980	true	false
0x401280	11	thunk_FUN_0087de30	true	false
0x401290	11	thunk_FUN_0087ecb0	true	false
0x4012A0	11	thunk_FUN_008c78b0	true	false
0x4012B0	11	thunk_FUN_0087e8d0	true	false
0x4012C0	11	thunk_FUN_0087db50	true	false
0x4012D0	11	thunk_FUN_0087e0b0	true	false
0x4012E0	11	thunk_FUN_0087dae0	true	false
0x4012F0	11	thunk_FUN_00820c90	true	false
0x401300	11	thunk_FUN_00817db0	true	false
0x401310	11	thunk_FUN_008c7920	true	false
0x401320	11	thunk_FUN_0087f6e0	true	false
0x401330	11	thunk_FUN_00918e40	true	false
0x401340	11	thunk_FUN_008c78b0	true	false
0x401350	11	thunk_FUN_0087dbf0	true	false
0x401360	11	thunk_FUN_0091ece0	true	false
0x401380	8	default	false	false
0x401388	9	default	false	false
0x40139B	10	FUN_0040139b	false	false
0x4013A5	16	FUN_004013a5	false	false
0x4013B5	16	FUN_004013b5	false	false
0x4013C5	116	FUN_004013c5	false	false
0x401439	32	FUN_00401439	false	false
0x401459	16	FUN_00401459	false	false
0x401469	15	FUN_00401469	false	false
0x401478	116	FUN_00401478	false	false
0x4014EC	32	FUN_004014ec	false	false
0x40150C	16	FUN_0040150c	false	false
0x40151C	15	FUN_0040151c	false	false
0x40152C	55	FUN_0040152c	false	false
0x40157A	55	FUN_0040157a	false	false
