string_addr	string	ref_from	ref_func	ref_type
0x9402A0	segfault at:%p ip:%p commit:c8d87eba date:2025-06-12 arch:x86_64	0x4237DA		DATA
0x9402E8	/etc/ssl/certs/ca-certificates.crt	0x423AB7	FUN_00423a30	DATA
0x9402E8	/etc/ssl/certs/ca-certificates.crt	0x423B35	FUN_00423a30	PARAM
0x9402E8	/etc/ssl/certs/ca-certificates.crt	0x423B59	FUN_00423a30	PARAM
0x940310	/etc/pki/tls/certs/ca-bundle.crt	0x423AF4	FUN_00423a30	DATA
0x940310	/etc/pki/tls/certs/ca-bundle.crt	0x423AFB	FUN_00423a30	DATA
0x940310	/etc/pki/tls/certs/ca-bundle.crt	0x423B35	FUN_00423a30	PARAM
0x940338	/etc/pki/ca-trust/extracted/pem/tls-ca-bundle.pem	0x423B18	FUN_00423a30	DATA
0x940338	/etc/pki/ca-trust/extracted/pem/tls-ca-bundle.pem	0x423B1F	FUN_00423a30	DATA
0x94036A	#%d %p	0x423800		DATA
0x94036A	#%d %p	0x423816		PARAM
0x940371	[main] TLS init failed [%s]	0x423902	FUN_00423850	DATA
0x94038D	/proc/sys/kernel/hostname	0x423A6F	FUN_00423a30	DATA
0x9403A7	/etc/ssl/ca-bundle.pem	0x423B00	FUN_00423a30	DATA
0x9403A7	/etc/ssl/ca-bundle.pem	0x423B07	FUN_00423a30	DATA
0x9403BE	/etc/pki/tls/cacert.pem	0x423B0C	FUN_00423a30	DATA
0x9403BE	/etc/pki/tls/cacert.pem	0x423B13	FUN_00423a30	DATA
0x9403D6	/etc/ssl/cert.pem	0x423B24	FUN_00423a30	DATA
0x9403D6	/etc/ssl/cert.pem	0x423B2B	FUN_00423a30	DATA
0x9403E8	[core/dns %s] response timeout	0x42457D	FUN_00424570	DATA
0x940408	[core/dns %s] failed to receive response [%s]	0x42489F	FUN_004245a0	DATA
0x940438	[core/dns %s] invalid response size	0x4248D5	FUN_004245a0	DATA
0x940460	[core/dns %s] unknown DNS error [rcode:%u]	0x424A4B	FUN_004245a0	DATA
0x940490	[core/dns %s] failed to parse answer section	0x424A93	FUN_004245a0	DATA
0x9404C0	[core/dns %s] not found A record	0x424AE7	FUN_004245a0	DATA
0x9404E8	[core/dns %s] failed to parse question section	0x424A7B	FUN_004245a0	DATA
0x940518	[core/dns %s] failed to send request [%s]	0x424B84	FUN_00424b00	DATA
0x940548	server failed to complete the DNS request	0xAC1490		DATA
0x940578	the server refused to answer for the query	0xAC14A8		DATA
0x9405A8	name that should not exist, does exist	0xAC14B0		DATA
0x9405D0	rrset that should not exist, does exist	0xAC14B8		DATA
0x9405F8	server not authoritative for the zone	0xAC14C0		DATA
0x94061E	[core/dns %s] %s	0x424845	FUN_004245a0	DATA
0x94062F	[core/dns %s] invalid answer	0x424A1D	FUN_004245a0	DATA
0x94064C	/etc/hosts	0x8F50DE	FUN_008f50d0	DATA
0x94064C	/etc/hosts	0x8F51AA	FUN_008f5180	DATA
0x94064C	/etc/hosts	0x8F529E	FUN_008f5280	DATA
0x94064C	/etc/hosts	0x8F544F	FUN_008f5440	DATA
0x94064C	/etc/hosts	0x424C1F	FUN_00424bd0	DATA
0x94064C	/etc/hosts	0x424FD6	FUN_00424fb0	DATA
0x94064C	/etc/hosts	0x8F50A4		DATA
0x940657	/etc/resolv.conf	0x9230CC	FUN_00923090	DATA
0x940657	/etc/resolv.conf	0x424CFD	FUN_00424bd0	DATA
0x940657	/etc/resolv.conf	0x424D0A	FUN_00424bd0	PARAM
0x940657	/etc/resolv.conf	0x424DA8	FUN_00424bd0	PARAM
0x940657	/etc/resolv.conf	0x425007	FUN_00424fb0	DATA
0x940657	/etc/resolv.conf	0x9246F6	FUN_009246f0	DATA
0x940668	query completed successfully	0xAC1480		DATA
0x940685	query format error	0xAC1488		DATA
0x940698	domain name does not exist	0xAC1498		DATA
0x9406B3	function not implemented	0xAC14A0		DATA
0x9406CC	name not in zone	0xAC14C8		DATA
0x9406E0	nameserver	0x424389	FUN_00424300	DATA
0x9406E0	nameserver	0x4243E8	FUN_00424300	PARAM
0x9406F2	[core/exec] fork failed [%s]	0x42564A	FUN_00425360	DATA
0x94070F	/dev/null	0x41872E	FUN_00418010	DATA
0x94070F	/dev/null	0x82F325	FUN_0082f220	DATA
0x94070F	/dev/null	0x82F2DD	FUN_0082f220	DATA
0x94070F	/dev/null	0x4253BB	FUN_00425360	DATA
0x940720	[core/exec] failed to launch "%s" [%s]	0x425616	FUN_00425360	DATA
0x94075D	false	0x80C82B	FUN_00808a80	DATA
0x94075D	false	0x43E4F7	FUN_0043e450	DATA
0x94075D	false	0x43E4FE	FUN_0043e450	PARAM
0x94075D	false	0x47CD1B	FUN_0047cc10	DATA
0x94075D	false	0x77731D	FUN_00777280	DATA
0x94075D	false	0x777324	FUN_00777280	DATA
0x94075D	false	0x4268E5	FUN_00426840	DATA
0x94075D	false	0x776A7D	FUN_007769e0	DATA
0x94075D	false	0x776A84	FUN_007769e0	DATA
0x94075D	false	0x425D51	FUN_00425b00	DATA
0x94075D	false	0xAC1870		DATA
0x940818	\t\t\t\t\t\t\t\t[core/json] failed to load %s [%s]	0x425E68	FUN_00425b00	DATA
0x940818	\t\t\t\t\t\t\t\t[core/json] failed to load %s [%s]	0x425DD8	FUN_00425b00	DATA
0x940818	\t\t\t\t\t\t\t\t[core/json] failed to load %s [%s]	0x425B90	FUN_00425b00	DATA
0x940848	[core/json] failed to read %s [%s]	0x426F46	FUN_00426ea0	DATA
0x94086B	[core/list] list is not empty	0x4276C1	FUN_004276b0	DATA
0x940890	[core/list] failed to remove item	0x4278DB	FUN_00427860	DATA
0x940890	[core/list] failed to remove item	0x427A13	FUN_00427970	DATA
0x9408B8	[core/log] failed to open %s (%s)	0x427C88	FUN_00427c10	DATA
0x9408DA	%b %d %T	0x427D98	FUN_00427ca0	DATA
0x9408E3	: %s: %s\n	0x427DDC	FUN_00427ca0	DATA
0x9408F7	WARNING	0xAC14F0		DATA
0x9408FF	DEBUG	0xAC14F8		DATA
0x940920	[core/event] failed to subscribe event [%s]	0x428D1B	FUN_00428ca0	DATA
0x940920	[core/event] failed to subscribe event [%s]	0x42869A	FUN_00428640	DATA
0x940950	[core/event] failed to init event observer [%s]	0x428893	FUN_004286b0	DATA
0x940980	[core/event] timer_list not empty	0x4289D9	FUN_004288b0	DATA
0x9409A8	[core/event] event_list not empty	0x4289C6	FUN_004288b0	DATA
0x9409D0	[core/event] event observer critical error [%s]	0x428A4B	FUN_004289f0	DATA
0x940A00	[core/event] timer_list not initialized	0x428DBF	FUN_00428d40	DATA
0x940A28	core/loop.c	0x42886F	FUN_004286b0	DATA
0x940A34	app_loop == NULL	0x428876	FUN_004286b0	DATA
0x940A48	asc_loop_init	0x428863	FUN_004286b0	DATA
0x940A58	[core/socket] failed to open socket [%s]	0x428FF4	FUN_00428f90	DATA
0x940A88	[core/socket %d] failed to set NONBLOCK [%s]	0x42913E	FUN_004290e0	DATA
0x940AB8	[core/socket %d] setsockopt(SO_REUSEADDR) failed [%s]	0x429326	FUN_00429280	DATA
0x940AF0	[core/socket %d] listen() on socket failed [%s]	0x4293BE	FUN_00429340	DATA
0x940B20	[core/socket %d] failed to accept connection [%s]	0x42945A	FUN_00429400	DATA
0x940B58	[core/socket %d] failed to connect [%s]	0x429587	FUN_004294d0	DATA
0x940B80	[core/socket %d] setsockopt(SO_BROADCAST) failed [%s]	0x42981E	FUN_004297e0	DATA
0x940BB8	[core/socket %d] setsockopt(SO_RCVBUF) failed [%s]	0x429897	FUN_00429830	DATA
0x940BB8	[core/socket %d] setsockopt(SO_RCVBUF) failed [%s]	0x4299D6	FUN_00429900	DATA
0x940BF0	[core/socket %d] setsockopt(SO_SNDBUF) failed [%s]	0x4298E9	FUN_00429830	DATA
0x940BF0	[core/socket %d] setsockopt(SO_SNDBUF) failed [%s]	0x4299AE	FUN_00429900	DATA
0x940C28	[core/socket %d] setsockopt(TCP_CONGESTION) failed [%s]	0x429A52	FUN_00429a00	DATA
0x940C60	[core/socket %d] interface not found "%s"	0x429C2D	FUN_00429ba0	DATA
0x940C90	[core/socket %d] setsockopt(IP_MULTICAST_IF) failed [%s]	0x429C4E	FUN_00429ba0	DATA
0x940CD0	[core/socket %d] setsockopt(IP_MULTICAST_TTL) failed [%s]	0x429CBF	FUN_00429c70	DATA
0x940D10	[core/socket %d] setsockopt(IP_MULTICAST_LOOP) failed [%s]	0x429D1E	FUN_00429ce0	DATA
0x940D50	[core/socket %d] setsockopt(SO_BINDTODEVICE) failed [%s]	0x429E07	FUN_00429d30	DATA
0x940D90	[core/socket %d] failed to join multicast [%s]	0x429DD7	FUN_00429d30	DATA
0x940DC0	[core/socket %d] failed to leave multicast [%s]	0x429E6E	FUN_00429e20	DATA
0x940DF0	[core/socket %d] failed to renew multicast "%s" [%s]	0x429EE1	FUN_00429e80	DATA
0x940E28	[core/socket %d] failed to join multicast source group [%s]	0x42A020	FUN_00429f00	DATA
0x940E68	[core/socket %d] failed to leave multicast source group [%s]	0x42A096	FUN_0042a050	DATA
0x940EA8	[core/socket %d] failed to renew multicast source group [%s]	0x42A0F6	FUN_0042a0b0	DATA
0x940EE5	core/socket.c	0x42915F	FUN_004290e0	DATA
0x940EF3	on_error != NULL	0x429166	FUN_004290e0	DATA
0x940F10	asc_socket_attach	0x429153	FUN_004290e0	DATA
0x941300	0123456789abcdef	0x42C100	FUN_0042c0f0	DATA
0x941300	0123456789abcdef	0x42C11E	FUN_0042c0f0	DATA
0x941300	0123456789abcdef	0x42C127	FUN_0042c0f0	DATA
0x941318	[core/thread] failed to start thread	0x42C328	FUN_0042c290	DATA
0x94133D	%s,%s=%s	0x42C4E5	FUN_0042c460	DATA
0x941346	define_pid	0x42C6D5	FUN_0042c630	DATA
0x941346	define_pid	0x482E37	FUN_00482ac0	DATA
0x941362	localaddr	0x46ABEB	FUN_0046aac0	DATA
0x941362	localaddr	0x468A22	FUN_004688a0	DATA
0x941362	localaddr	0x42CF79	FUN_0042cb50	DATA
0x941362	localaddr	0x464798	FUN_004645b0	DATA
0x941362	localaddr	0x4655D6		DATA
0x941381	filename	0x47B812	FUN_0047b7f0	DATA
0x941381	filename	0x47B840	FUN_0047b7f0	PARAM
0x941381	filename	0x42CD13	FUN_0042cb50	DATA
0x941381	filename	0x462D0B	FUN_00462bf0	DATA
0x941381	filename	0x462804		DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D089	FUN_0042d070	DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D10A	FUN_0042d070	DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D11F	FUN_0042d070	DATA
0x9413A0	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	0x42D123	FUN_0042d070	DATA
